iter	Passed	Remaining
0	83	166349
1	164	164611
2	248	165422
3	331	165277
4	412	164744
5	497	165345
6	579	165070
7	662	164925
8	745	164864
9	827	164766
10	912	164955
11	995	164980
12	1079	165016
13	1163	164985
14	1276	168941
15	1369	169834
16	1453	169511
17	1536	169153
18	1620	168914
19	1704	168788
20	1790	168721
21	1874	168490
22	1959	168450
23	2044	168336
24	2128	168157
25	2212	167993
26	2296	167799
27	2379	167612
28	2463	167457
29	2547	167294
30	2632	167202
31	2715	166996
32	2798	166828
33	2882	166695
34	2967	166586
35	3050	166414
36	3134	166294
37	3218	166184
38	3300	165932
39	3384	165830
40	3469	165767
41	3554	165725
42	3640	165669
43	3722	165480
44	3806	165374
45	3893	165374
46	3979	165348
47	4062	165189
48	4144	165011
49	4229	164949
50	4313	164835
51	4396	164688
52	4479	164566
53	4563	164453
54	4645	164287
55	4728	164152
56	4813	164065
57	4896	163933
58	4979	163806
59	5061	163668
60	5146	163586
61	5228	163445
62	5313	163360
63	5397	163279
64	5483	163229
65	5568	163170
66	5651	163045
67	5732	162861
68	5815	162741
69	5899	162645
70	5981	162515
71	6066	162439
72	6150	162345
73	6233	162250
74	6318	162170
75	6401	162049
76	6485	161980
77	6569	161885
78	6651	161751
79	6735	161640
80	6817	161518
81	6899	161369
82	6982	161279
83	7066	161185
84	7149	161066
85	7234	161014
86	7329	161169
87	7412	161049
88	7493	160906
89	7577	160821
90	7660	160693
91	7741	160559
92	7825	160474
93	7905	160303
94	7990	160231
95	8075	160162
96	8158	160053
97	8240	159938
98	8323	159831
99	8405	159696
100	8489	159621
101	8573	159537
102	8654	159397
103	8736	159271
104	8819	159172
105	8901	159056
106	8983	158926
107	9064	158803
108	9145	158653
109	9230	158591
110	9315	158528
111	9397	158417
112	9478	158287
113	9562	158194
114	9643	158076
115	9727	157988
116	9806	157832
117	9887	157698
118	9972	157627
119	10053	157505
120	10136	157415
121	10220	157333
122	10300	157188
123	10383	157091
124	10467	157011
125	10550	156916
126	10631	156796
127	10714	156704
128	10797	156611
129	10878	156478
130	10961	156391
131	11042	156269
132	11126	156193
133	11209	156096
134	11293	156018
135	11376	155924
136	11456	155786
137	11541	155726
138	11623	155617
139	11702	155472
140	11782	155351
141	11863	155223
142	11947	155156
143	12032	155088
144	12112	154953
145	12192	154824
146	12272	154699
147	12358	154642
148	12441	154558
149	12525	154482
150	12610	154410
151	12688	154268
152	12768	154139
153	12852	154067
154	12933	153953
155	13014	153835
156	13097	153746
